"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP5";"Solder-Jumper_2P_Open_0402";1;"DEB_EN";;;
2;"D2";"LED_0603_1608Metric";1;"DBG_LED";;;
3;"C17,C18";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"30pF";;;
4;"C12,C6,C11,C10,C2,C1,C9,C8,C7";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";9;"100n";;;
5;"C13,C15";"C_0603_1608Metric";2;"10u";;;
6;"C19,C5,C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"1u";;;
7;"R2,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1k";;;
8;"R7,R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"470R";;;
9;"H3,H2,H4,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
10;"U3";"RP2040-QFN-56";1;"RP2040";;;
11;"R5,R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"27R";;;
12;"U1";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
13;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"DNP";;;
14;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
15;"JP1";"Solder-Jumper_2P_Open_0402";1;"AREF_SEL";;;
16;"R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K";;;
17;"J2";"Korean-Hroparts-Elec_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
18;"C16";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"470pF";;;
19;"JP4";"Solder-Jumper_2P_Open_0402";1;"VR1_CE";;;
20;"R4,R3,R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"5.1K";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"YIC-12M20P2/XT324-10/10";;;
22;"D1";"D_SOD-323_HandSoldering";1;"PMEG4005EJ";;;
23;"D3";"LED_0603_1608Metric";1;"POW_LED";;;
24;"J6";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
25;"SW1";"CK_SW_SPST_UK-B0273-SP25Y";1;"Reset";;;
26;"J3";"PinHeader_1x20_2H_P2.54mm_Vertical";1;"Header_1";;;
27;"C14";"CP_EIA-2012-12_Kemet-R";1;"2.2uF";;;
28;"U2";"SOT-23-5";1;"MIC5219-3.3YM5";;;
29;"SW2";"CK_SW_SPST_UK-B0273-SP25Y";1;"UBUT";;;
30;"J1";"PinHeader_2x04_P2.54mm_Vertical";1;"EXP8";;;
31;"JP6";"Solder-Jumper_3P_Open_0402";1;"UBUT_SEL";;;
32;"J4";"PinHeader_1x20_2H_P2.54mm_Vertical";1;"Header_2";;;
